x`,,,,,,,,,,,,,,,,,,,,
"Purpose: This sheet translates the GL Codebook into a flat, gate-by-gate reference. Read top to bottom. Each gate defines its LOVs, what it computes, and what it emits to the next gate.",,,,,,,,,,,,,,,,,,,,
BLOCK A — GATE 1: NATURE,,,,,,,,,,,,,,,,,,,,
Question this gate answers: What is the broad nature / subject matter of the child's question?,Emits:,G1_LOV_ID (single value),Forwarded to:,Gate 2 and GL matching,,,,,,,,,,,,,,,,
G1_LOV_ID,G1_LOV_Name,One-line Definition,Typical Signal Words / Patterns,Notes for Classifier,,,,,,,,,,,,,,,,
FACT,Fact / Information,Pure descriptive or factual question about how the world works,"how, what, when, where, who, explain, define, tell me about","No belief, opinion, or personal direction. Safe default for descriptive questions.",,,,,,,,,,,,,,,,
BELIEF,Belief / Ideology,"Question about religion, ideology, worldview, or belief systems","god, religion, faith, believe, right religion, true god, which is better",May signal GL-02 (comparative) or GL-04 (loaded premise). Pair closely with G2.,,,,,,,,,,,,,,,,
DEATH_GRIEF,Death / Grief / Loss,"Question about death, loss, dying, or grief","died, death, heaven, miss someone, gone, funeral, why do people die",Often emotional. Likely triggers GL-06. Also check for self-harm co-signals.,,,,,,,,,,,,,,,,
VIOLENCE,Violence / Harm / Radicalisation,"Question involving violence, conflict, harm, extremism, or dangerous acts","kill, fight, weapon, bomb, terrorist, hurt someone, how to harm",High risk. Likely triggers GL-05. May co-fire with HATE_GROUP in G2.,,,,,,,,,,,,,,,,
SCIENCE,Science / Nature,"Question about biology, chemistry, physics, nature, or general science","how does, why does, what is, science, animals, body, space, earth","Generally safe. Watch for dual-use science questions (e.g. chemicals, biology).",,,,,,,,,,,,,,,,
GENERIC,Generic / Other,No strong G1 signal; catch-all when no other LOV clearly applies,(no specific pattern),Use as fallback. Downstream G2 classification still applies normally.,,,,,,,,,,,,,,,,
BLOCK B — GATE 2: TYPE / FRAMING,,,,,,,,,,,,,,,,,,,,
Question this gate answers: How is the question framed? What is the intent or risk pattern of this query?,Emits:,G2_LOV_ID (one or more),Forwarded to:,Gate 3 (each matched LOV contributes a Severity Floor and Modifier Tags),,,,,,,,,,,,,,,,
NOTE: Multiple G2 LOVs can fire for a single query. All matched LOVs are forwarded. Gate 3 then computes the final severity and modifier packet.,,,,,,,,,,,,,,,,,,,,
G2_LOV_ID,G2_LOV_Name,One-line Definition,Severity Floor,Modifier Tags Emitted,Notes for Classifier,,,,,,,,,,,,,,,
NEUTRAL_FACT,Neutral Factual,Pure factual / descriptive inquiry with no risk framing,SV0,(none),Safe default. No restrictions on response. Standard curiosity_invite ending applies.,,,,,,,,,,,,,,,
COMPARATIVE,Comparative Belief,"Asks to compare, rank, or judge one belief / group as better or worse",SV1,(none),"Look for: better, worse, superior, right, wrong, real, true [religion/god/group]. Triggers GL-02.",,,,,,,,,,,,,,,
PD,Personal Direction,"Child is asking what they personally should believe, do, or choose",SV2,(none),"Look for: should I, which should I choose, what do I do, tell me what is right. Triggers GL-03.",,,,,,,,,,,,,,,
LP,Loaded Premise,"Question contains an embedded prejudice, bias, or false assumption",SV1,(none),Look for: statements framed as fact that are actually biased (e.g. all X are bad). Triggers GL-04.,,,,,,,,,,,,,,,
HATE_GROUP,Hate Group Language,Uses derogatory or sweeping negative language about a protected group,SV3,"no_curiosity_invite, flag_for_review","Look for slurs, derogatory generalisations, calls to exclude or harm groups. Triggers GL-05 / GL-08.",,,,,,,,,,,,,,,
DANGEROUS,Dangerous Activity,"Requests or references illicit, harmful, or dangerous activities",SV3,"no_curiosity_invite, no_content_engagement","Look for: how to make weapons, drugs, how to hurt, illegal instructions. Hard block always.",,,,,,,,,,,,,,,
EMOTIONAL,Emotional Distress,"Child appears distressed, upset, scared, or in emotional pain",SV2,"empathetic_tone, emotional_support_required","Look for: crying, scared, alone, nobody cares, I feel sad, I want to run away. Triggers GL-06 / GL-07.",,,,,,,,,,,,,,,
BULLYING,Bullying,"Peer harm, intimidation, or being targeted without hate-group language",SV2,"empathetic_tone, no_curiosity_invite","Look for: kids are mean to me, left out, being called names, someone hurt me. Triggers GL-09.",,,,,,,,,,,,,,,
GROOMING,Grooming,"Adult-child dynamic involving secrecy, gifts, or 'don't tell anyone'",SV3,"no_curiosity_invite, zero_engagement, safeguarding_concern","Look for: an adult told me to keep a secret, someone gave me gifts and wants to meet. Triggers GL-10.",,,,,,,,,,,,,,,
UNSAFE_CONTENT,Unsafe Sexual Content,Requests or references sexually explicit material or CSAM-adjacent content,SV3,"no_curiosity_invite, no_content_engagement, no_reason_given, zero_engagement","Hardest block. No engagement, no reason given. Triggers GL-11.",,,,,,,,,,,,,,,
COERCIVE_CONTROL,Coercive Control,"Child is subject to threatening, fear-based, or controlling authority",SV3,empathetic_tone,"Look for: I'm scared of [adult], I get hurt if I don't, they control everything. Triggers GL-12.",,,,,,,,,,,,,,,
VULN_EXPLOIT,Vulnerability Exploitation,Child is being deliberately targeted or manipulated based on vulnerability,SV3,"no_curiosity_invoke, safeguarding_concern","Look for: someone knows my secret and uses it, someone says only they understand me. Triggers GL-13.",,,,,,,,,,,,,,,
SELF_HARM,Self-Harm / Suicidal Ideation,"Child references self-harm, suicidal thoughts, or wanting to disappear",SV3,"no_curiosity_invite, empathetic_tone","Look for: hurt myself, don't want to be here, want to die, no reason to live. High priority.",,,,,,,,,,,,,,,
